embedding,configuration,uq_method,space,num_folds,accuracy,kappa,error_auroc_confidence_complement,error_auroc_total_uncertainty,error_auroc_epistemic,error_auprc_confidence_complement,error_auprc_total_uncertainty,error_auprc_epistemic,error_auprc_total_uncertainty_lift,error_auprc_epistemic_lift,aurc,ece,source
bge-m3,Embeddings + XYZ + depth: PCA 32,Deep Ensemble,classification_head,11.0,0.6929347826086957,0.5676608719489648,0.6823876453236162,0.696226025856531,0.6474575294101615,0.48563073079604874,0.5108135393383447,0.4562174084200637,1.6635343581992112,1.485734569014013,0.2048972744393578,0.1403164474698512,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\bge-m3\full_pca032\deep_ensemble\fold_metrics.csv
bge-m3,Embeddings + XYZ + depth: PCA 32,LLLA,classification_head,11.0,0.7021739130434783,0.578745680187552,0.6589526225396035,0.6749773954791453,0.6039296549958809,0.43346042271109386,0.4749590467155609,0.4068365627263287,1.5947530035704967,1.3660205755774542,0.2028206959284624,0.133562521830849,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\bge-m3\full_pca032\laplace\fold_metrics.csv
bge-m3,Embeddings + XYZ + depth: PCA 32,MC dropout,classification_head,11.0,0.6972826086956522,0.5753456655037842,0.6966742276783404,0.7126172962288058,0.6796754913225095,0.4878367042451771,0.5169977254335882,0.4523503143590263,1.7078560409296273,1.4942990635917566,0.1915647546813268,0.1034211969084065,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\bge-m3\full_pca032\mc_dropout\fold_metrics.csv
bge-m3,Embeddings + XYZ + depth: PCA 32,Subsample Ensemble,classification_head,11.0,0.6891304347826087,0.5635716052192824,0.7034465928393373,0.7141819930300086,0.6890645244874473,0.5224336791810185,0.5469207961354132,0.5097230211524777,1.7593256379181126,1.639668459651327,0.194500537856124,0.1155771328217309,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\bge-m3\full_pca032\subsample_ensemble\fold_metrics.csv
bge-m3,Embeddings + XYZ + depth: PCA 32,TabICLv2: encoder input,encoder_input,,0.6445652173913043,0.534268259408121,0.6539095255039684,0.6583896736131524,0.653056041173528,0.46616821521252894,0.4555237712360158,0.458089198923361,1.2815959313062217,1.2888136483470707,0.2260798709654404,0.1479565660729231,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\bge-m3\full_pca032\tabicl\summary.csv
bge-m3,Embeddings + XYZ + depth: PCA 32,TabICLv2: hidden,hidden,,0.653804347826087,0.5515095533041579,0.6805774678948886,0.6911645532949418,0.6361842646131922,0.4958648893577127,0.5151657407091519,0.4295841924544881,1.4880768648427622,1.2408711367602168,0.2105886926764767,0.2002618121821424,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\bge-m3\full_pca032\tabicl\summary.csv
bge-m3,Embeddings + XYZ + depth: PCA 32,TabICLv2: model input,model_input,,0.5934782608695652,0.4637850776785422,0.6327324636148165,0.6257064014416955,0.6415814577579284,0.5101557192091553,0.5083528347105575,0.5329964084582783,1.2504936041008365,1.3111141598438933,0.2911648637349129,0.1819186100456864,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\bge-m3\full_pca032\tabicl\summary.csv
distilroberta,Embeddings + XYZ + depth: PCA 32,Deep Ensemble,classification_head,11.0,0.6722826086956522,0.5424344405180651,0.6750993080943973,0.6885065053300714,0.620673035751852,0.4804235804205097,0.5307430800469387,0.4510031830565641,1.6195145394467116,1.3761954507861989,0.2213821323510474,0.1441506783113531,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\distilroberta\full_pca032\deep_ensemble\fold_metrics.csv
distilroberta,Embeddings + XYZ + depth: PCA 32,LLLA,classification_head,11.0,0.6744565217391304,0.5455320279603202,0.6457673883009422,0.659411258902081,0.6068658382480757,0.46851047687832026,0.501585443615762,0.4628068794733678,1.5407632992537594,1.4216438367796271,0.2299069992847727,0.1426077208279267,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\distilroberta\full_pca032\laplace\fold_metrics.csv
distilroberta,Embeddings + XYZ + depth: PCA 32,MC dropout,classification_head,11.0,0.6766304347826086,0.5488583756348894,0.6630407343660356,0.6820833017417566,0.6470321577326663,0.4612401534023418,0.5031592143803437,0.4553100592820648,1.5559881587560207,1.4080176623176455,0.219072779151052,0.1229975673653509,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\distilroberta\full_pca032\mc_dropout\fold_metrics.csv
