embedding,configuration,uq_method,space,num_folds,accuracy,kappa,error_auroc_confidence_complement,error_auroc_total_uncertainty,error_auroc_epistemic,error_auprc_confidence_complement,error_auprc_total_uncertainty,error_auprc_epistemic,error_auprc_total_uncertainty_lift,error_auprc_epistemic_lift,aurc,ece,source
gte-large,Embeddings + depth: PCA 64,LLLA,classification_head,95.0,0.6005434782608695,0.4316549078240321,0.621691137993659,0.6506915607840016,0.5429793436075042,0.4992086282930402,0.6051952157740669,0.5338108940237318,1.5150465265636501,1.3363429183723352,0.3060824714558586,0.313742348584144,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\gte-large\embeddings_depth_pca064\laplace\fold_metrics.csv
gte-large,Embeddings + depth: PCA 64,MC dropout,classification_head,95.0,0.596195652173913,0.4311796610062806,0.6026505666377531,0.5911333706109754,0.5224369504919927,0.4806969954486755,0.5839112169285853,0.5479800332062067,1.446025086337277,1.3570434200530554,0.3410552777194715,0.3002970856816872,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\gte-large\embeddings_depth_pca064\mc_dropout\fold_metrics.csv
gte-large,Embeddings + depth: PCA 64,Subsample Ensemble,classification_head,95.0,0.6081521739130434,0.4349182050628946,0.6126618897643651,0.6098625619414795,0.565320229303928,0.4862098177959727,0.5838196659429776,0.5311424664014355,1.4899142653745892,1.3554814676541487,0.3225347372512814,0.3023436687724746,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\gte-large\embeddings_depth_pca064\subsample_ensemble\fold_metrics.csv
gte-large,Embeddings + depth: PCA 64,TabICLv2: encoder input,encoder_input,,0.7097826086956521,0.6079129312594624,0.6808549993977666,0.6690669970347174,0.6636124828650252,0.4425928111919042,0.4186626983305068,0.3898088839005108,1.442583080389761,1.3431616973350933,0.1765374123238221,0.111184263888047,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\gte-large\embeddings_depth_pca064\tabicl\summary.csv
gte-large,Embeddings + depth: PCA 64,TabICLv2: hidden,hidden,,0.7130434782608696,0.6158229444874594,0.6616965193089431,0.6597506120657798,0.6572633730598669,0.42286665540089663,0.4264154707274613,0.4102526044528944,1.4859933070805469,1.4296681670328137,0.2029304397421395,0.112948522138731,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\gte-large\embeddings_depth_pca064\tabicl\summary.csv
gte-large,Embeddings + depth: PCA 64,TabICLv2: model input,model_input,,0.6940217391304347,0.5861929568277243,0.6864348196191395,0.6780684636366039,0.6671553416018616,0.4596599871040494,0.4362838107230448,0.4187807044843338,1.4258653849563097,1.368661627444359,0.1879998294549191,0.1176677073568799,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\gte-large\embeddings_depth_pca064\tabicl\summary.csv
gte-modernbert,Embeddings + depth: PCA 64,Deep Ensemble,classification_head,95.0,0.6717391304347826,0.5128832591711057,0.6624941061745858,0.7198872608326503,0.6916983168990828,0.4796498799665936,0.6291077876021813,0.586313541462021,1.9164872999801552,1.7861207223346334,0.2293314772041058,0.2745352394554926,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\gte-modernbert\embeddings_depth_pca064\deep_ensemble\fold_metrics.csv
gte-modernbert,Embeddings + depth: PCA 64,LLLA,classification_head,95.0,0.6635869565217392,0.505368801229845,0.6557219578221194,0.670050006035365,0.6502164229556289,0.4916612007111223,0.5962149656965071,0.5751734816177908,1.7722706573207967,1.7097240810609615,0.2471445996858447,0.2824651582409506,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\gte-modernbert\embeddings_depth_pca064\laplace\fold_metrics.csv
gte-modernbert,Embeddings + depth: PCA 64,MC dropout,classification_head,95.0,0.6646739130434782,0.5039480023009811,0.6455059760850579,0.6809783561734856,0.6737480884766215,0.4744136028935043,0.6057341103940866,0.5893819668780758,1.8064031817262873,1.7576382804791886,0.2442686175815117,0.2964664315723854,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\gte-modernbert\embeddings_depth_pca064\mc_dropout\fold_metrics.csv
gte-modernbert,Embeddings + depth: PCA 64,Subsample Ensemble,classification_head,95.0,0.6934782608695652,0.53879494106202,0.6603366293159031,0.7112001180837804,0.6735866710193034,0.4676714278987303,0.6220356761241824,0.5800870088812502,2.0293362483483963,1.892482440321809,0.2142896060362769,0.2595197899348062,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\gte-modernbert\embeddings_depth_pca064\subsample_ensemble\fold_metrics.csv
